2020-02-12 22:35:58,062-DEBUG-my_logger.py-web_auto-日志信息:testing....
2020-02-12 22:36:52,820-DEBUG-my_logger.py-web_auto-日志信息:testing....
2020-02-12 22:36:52,820-ERROR-my_logger.py-web_auto-日志信息:erroring...
2020-02-15 15:17:38,419-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:17:38,506-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入1660215989
2020-02-15 15:17:38,506-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:17:38,641-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:17:38,641-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:17:38,699-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:38,700-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:39,371-INFO-my_logger.py-web_auto-日志信息:截图成功，图片路径为C:\Users\17486\PycharmProjects\python_11\web_auto\OutPut/screenshot/2020-02-15_15:17:38.png
2020-02-15 15:17:39,372-ERROR-my_logger.py-web_auto-日志信息:点击元素失败！
2020-02-15 15:17:39,622-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:17:39,645-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入
2020-02-15 15:17:39,646-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:17:39,679-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:17:39,681-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:17:39,735-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:39,736-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:40,398-INFO-my_logger.py-web_auto-日志信息:截图成功，图片路径为C:\Users\17486\PycharmProjects\python_11\web_auto\OutPut/screenshot/2020-02-15_15:17:39.png
2020-02-15 15:17:40,398-ERROR-my_logger.py-web_auto-日志信息:点击元素失败！
2020-02-15 15:17:40,612-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:17:40,640-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:17:40,640-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:17:40,734-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入111111
2020-02-15 15:17:40,735-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:17:40,788-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:40,790-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:41,466-INFO-my_logger.py-web_auto-日志信息:截图成功，图片路径为C:\Users\17486\PycharmProjects\python_11\web_auto\OutPut/screenshot/2020-02-15_15:17:40.png
2020-02-15 15:17:41,466-ERROR-my_logger.py-web_auto-日志信息:点击元素失败！
2020-02-15 15:17:41,647-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:17:41,670-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:17:41,670-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:17:41,741-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:17:41,742-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:17:41,792-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:41,793-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:17:42,552-INFO-my_logger.py-web_auto-日志信息:截图成功，图片路径为C:\Users\17486\PycharmProjects\python_11\web_auto\OutPut/screenshot/2020-02-15_15:17:41.png
2020-02-15 15:17:42,552-ERROR-my_logger.py-web_auto-日志信息:点击元素失败！
2020-02-15 15:19:04,985-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:19:05,064-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入1660215989
2020-02-15 15:19:05,064-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:19:05,287-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:19:05,288-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:19:05,380-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:05,381-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:05,432-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
2020-02-15 15:19:06,018-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-15 15:19:06,018-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-15 15:19:06,113-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:19:06,368-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入
2020-02-15 15:19:06,369-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:19:06,458-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:19:06,466-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:19:06,575-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:06,577-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:06,633-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
2020-02-15 15:19:06,654-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-15 15:19:06,655-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-15 15:19:06,984-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:19:07,028-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:19:07,029-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:19:07,202-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入111111
2020-02-15 15:19:07,203-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:19:07,307-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:07,309-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:07,399-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
2020-02-15 15:19:07,987-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-15 15:19:07,987-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-15 15:19:08,322-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:19:08,382-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:19:08,382-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:19:08,508-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:19:08,508-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:19:08,659-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:08,662-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:19:08,793-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//a[@id="logout"]')元素可见
2020-02-15 15:25:33,920-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:25:33,999-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:25:34,001-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:25:34,156-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:25:34,156-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:25:34,218-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:25:34,218-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:25:34,267-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//a[@id="logout"]')元素可见
2020-02-15 15:27:01,134-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-15 15:27:01,181-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-15 15:27:01,182-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-15 15:27:01,306-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-15 15:27:01,307-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-15 15:27:01,371-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-15 15:27:01,372-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-15 15:27:01,424-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//a[@id="logout"]')元素可见
2020-02-17 09:28:25,979-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-17 09:28:26,005-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入1660215989
2020-02-17 09:28:26,006-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-17 09:28:26,156-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-17 09:28:26,156-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-17 09:28:26,215-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:26,215-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:26,261-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
2020-02-17 09:28:26,825-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-17 09:28:26,825-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-17 09:28:27,112-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-17 09:28:27,132-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入
2020-02-17 09:28:27,133-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-17 09:28:27,167-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-17 09:28:27,168-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-17 09:28:27,223-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:27,224-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:27,265-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
